Token	Filename	sent_id	tok_id	STTS
***	18J_Ein_Wort_der_Ermahnung_Teilkorpus02	11	16	XY
wir	18J_Ein_Wort_der_Ermahnung_Teilkorpus02	11	18	PPER
Dir	18J_Ein_Wort_der_Ermahnung_Teilkorpus02	11	19	PPER
fuͤr	18J_Ein_Wort_der_Ermahnung_Teilkorpus02	11	20	APPR
unſer	18J_Ein_Wort_der_Ermahnung_Teilkorpus02	11	21	PPOSAT
geſammtes	18J_Ein_Wort_der_Ermahnung_Teilkorpus02	11	22	ADJA
und	18J_Ein_Wort_der_Ermahnung_Teilkorpus02	11	23	KON
von	18J_Ein_Wort_der_Ermahnung_Teilkorpus02	11	24	APPR
Dir	18J_Ein_Wort_der_Ermahnung_Teilkorpus02	11	25	PPER
nach	18J_Ein_Wort_der_Ermahnung_Teilkorpus02	11	26	APPR
Deiner	18J_Ein_Wort_der_Ermahnung_Teilkorpus02	11	27	PPOSAT
Ordnung	18J_Ein_Wort_der_Ermahnung_Teilkorpus02	11	28	NN
und	18J_Ein_Wort_der_Ermahnung_Teilkorpus02	11	29	KON
Willen	18J_Ein_Wort_der_Ermahnung_Teilkorpus02	11	30	NN
ge=ſetztes	18J_Ein_Wort_der_Ermahnung_Teilkorpus02	11	31	ADJA
Evangelisches	18J_Ein_Wort_der_Ermahnung_Teilkorpus02	11	32	ADJA
Lehr=	18J_Ein_Wort_der_Ermahnung_Teilkorpus02	11	33	TRUNC
und	18J_Ein_Wort_der_Ermahnung_Teilkorpus02	11	34	KON
Predigt=Amt	18J_Ein_Wort_der_Ermahnung_Teilkorpus02	11	35	NN
bringen	18J_Ein_Wort_der_Ermahnung_Teilkorpus02	11	36	VVFIN
mit	18J_Heuschrecken_Teilkorpus02	5	8	APPR
ihren	18J_Heuschrecken_Teilkorpus02	5	9	PPOSAT
Fluͤglen	18J_Heuschrecken_Teilkorpus02	5	10	NN
ein	18J_Heuschrecken_Teilkorpus02	5	11	ART
Geraͤuſch	18J_Heuschrecken_Teilkorpus02	5	12	NN
machten	18J_Heuschrecken_Teilkorpus02	5	13	VVFIN
wie	18J_Heuschrecken_Teilkorpus02	5	14	KOKOM
das	18J_Heuschrecken_Teilkorpus02	5	15	ART
Raßlen	18J_Heuschrecken_Teilkorpus02	5	16	NN
der	18J_Heuschrecken_Teilkorpus02	5	17	ART
Wagen	18J_Heuschrecken_Teilkorpus02	5	18	NN
bey	18J_Heuschrecken_Teilkorpus02	8	12	APPR
GOtt	18J_Heuschrecken_Teilkorpus02	8	13	NN
uͤberaus	18J_Heuschrecken_Teilkorpus02	8	14	ADV
verhaſt	18J_Heuschrecken_Teilkorpus02	8	15	ADJD
iſt	18J_Heuschrecken_Teilkorpus02	8	16	VAFIN
